0.00 - 0.24:  Last
0.24 - 0.62:  lesson,
0.78 - 1.14:  extraction.
1.90 - 2.10:  This
2.10 - 2.32:  one's
2.32 - 2.40:  the
2.40 - 2.58:  part
2.58 - 2.70:  that
2.70 - 3.00:  actually
3.00 - 3.34:  protects
3.34 - 3.64:  money.
3.84 - 3.98:  Never
3.98 - 4.38:  trust
4.38 - 4.58:  AI
4.58 - 4.90:  with
4.90 - 5.22:  money
5.22 - 5.46:  is
5.46 - 5.60:  an
5.60 - 5.88:  attack
5.88 - 6.28:  line.
6.80 - 7.04:  It's
7.04 - 7.16:  the
7.16 - 7.54:  design
7.54 - 7.94:  constraint
7.94 - 8.30:  this
8.30 - 8.66:  entire
8.66 - 8.98:  file
8.98 - 9.18:  is
9.18 - 9.36:  built
9.36 - 9.76:  around.
10.60 - 10.98:  Every
10.98 - 11.16:  check
11.16 - 11.34:  in
11.34 - 11.46:  this
11.46 - 11.74:  file
11.74 - 11.94:  is
11.94 - 12.62:  deterministic.
12.94 - 13.18:  Same
13.18 - 13.52:  input,
13.82 - 13.96:  same
13.96 - 14.30:  output,
14.42 - 14.68:  every
14.68 - 14.92:  single
14.92 - 15.24:  time.
15.72 - 15.84:  No
15.84 - 16.12:  temperature,
16.42 - 16.54:  no
16.54 - 16.82:  sampling,
17.02 - 17.14:  no
17.14 - 17.36:  model
17.36 - 17.66:  call.
18.12 - 18.24:  If
18.24 - 18.36:  you
18.36 - 18.58:  can't
18.58 - 18.84:  explain
18.84 - 18.98:  in
18.98 - 19.10:  one
19.10 - 19.34:  sentence
19.34 - 19.72:  why
19.72 - 19.84:  a
19.84 - 19.92:  check
19.92 - 20.22:  fired,
20.32 - 20.38:  it
20.38 - 20.60:  doesn't
20.60 - 20.80:  belong
20.80 - 21.02:  in
21.02 - 21.16:  this
21.16 - 21.44:  file.
22.40 - 22.72:  Five
22.72 - 22.96:  checks,
23.14 - 23.30:  math
23.30 - 23.74:  verification,
24.20 - 24.38:  duplicate
24.38 - 25.02:  detection,
25.26 - 25.54:  confidence
25.54 - 25.94:  floor,
26.10 - 26.28:  missing
26.28 - 26.56:  PO,
26.76 - 26.88:  high
26.88 - 27.26:  value.
27.68 - 27.86:  Each
27.86 - 28.04:  one
28.04 - 28.34:  returns
28.34 - 28.70:  either
28.70 - 29.02:  nothing
29.02 - 29.28:  or
29.28 - 29.36:  a
29.36 - 29.58:  flag
29.58 - 29.84:  and
29.84 - 29.94:  a
29.94 - 30.10:  flag
30.10 - 30.50:  always
30.50 - 30.76:  has
30.76 - 30.90:  a
30.90 - 31.16:  type.
31.52 - 31.64:  A
31.64 - 31.92:  severity
31.92 - 32.28:  and
32.28 - 32.38:  a
32.38 - 32.54:  plain
32.54 - 32.90:  English
32.90 - 33.26:  reason.
34.22 - 34.66:  Severity
34.66 - 34.92:  matters
34.92 - 35.38:  more
35.38 - 35.50:  than
35.50 - 35.64:  it
35.64 - 35.82:  looks
35.82 - 36.16:  like
36.16 - 36.36:  it
36.36 - 36.52:  should.
36.84 - 36.98:  High
36.98 - 37.30:  severity
37.30 - 37.64:  means
37.64 - 37.80:  the
37.80 - 38.12:  pipeline
38.12 - 38.64:  can't
38.64 - 38.80:  trust
38.80 - 39.04:  this
39.04 - 39.32:  invoice
39.32 - 39.58:  at
39.58 - 39.74:  all.
40.04 - 40.42:  Flagged,
40.64 - 40.98:  medium
40.98 - 41.26:  means
41.26 - 41.42:  it's
41.42 - 41.68:  probably
41.68 - 42.06:  fine,
42.34 - 42.52:  but
42.52 - 42.62:  a
42.62 - 42.78:  human
42.78 - 43.04:  should
43.04 - 43.30:  glance
43.30 - 43.50:  at
43.50 - 43.72:  it,
43.84 - 44.06:  needs
44.06 - 44.44:  review.
45.02 - 45.12:  That
45.12 - 45.50:  distinction
45.50 - 45.88:  drives
45.88 - 46.08:  the
46.08 - 46.26:  whole
46.26 - 46.50:  route
46.50 - 46.68:  in
46.68 - 46.96:  decision
46.96 - 47.42:  later.
48.28 - 48.84:  Simplest
48.84 - 49.24:  check
49.24 - 49.62:  and
49.62 - 49.74:  the
49.74 - 49.86:  most
49.86 - 50.30:  important
50.30 - 50.58:  one,
51.00 - 51.42:  subtotal
51.42 - 51.74:  plus
51.74 - 52.08:  tax
52.08 - 52.40:  should
52.40 - 52.80:  equal
52.80 - 53.20:  total.
53.82 - 54.00:  If
54.00 - 54.12:  it
54.12 - 54.50:  doesn't,
54.94 - 55.50:  something's
55.50 - 55.72:  wrong.
56.08 - 56.22:  A
56.22 - 56.64:  typo,
56.80 - 56.88:  a
56.88 - 57.28:  manipulated
57.28 - 57.90:  document,
57.90 - 58.08:  an
58.08 - 58.98:  extraction
58.98 - 59.38:  error,
59.52 - 59.76:  doesn't
59.76 - 59.98:  matter
59.98 - 60.30:  which.
60.82 - 60.88:  It
60.88 - 61.10:  gets
61.10 - 61.54:  flagged
61.54 - 61.72:  either
61.72 - 62.12:  way.
62.80 - 63.38:  Tolerance
63.38 - 63.58:  is
63.58 - 63.80:  one
63.80 - 64.08:  cent.
64.36 - 64.46:  Math
64.46 - 64.84:  tolerance
64.84 - 65.28:  equals
65.28 - 65.58:  0
65.58 - 66.02: .01.
66.84 - 67.16:  That's
67.16 - 67.28:  not
67.28 - 67.68:  arbitrary.
68.08 - 68.34:  It's
68.34 - 68.76:  rounding
68.76 - 69.16:  slack
69.16 - 69.58:  for
69.58 - 69.94:  floating
69.94 - 70.32:  point,
70.54 - 70.68:  not
70.68 - 70.92:  room
70.92 - 71.10:  for
71.10 - 71.22:  the
71.22 - 71.44:  model
71.44 - 71.64:  to
71.64 - 71.78:  be
71.78 - 72.00:  close
72.00 - 72.32:  enough.
72.90 - 73.26:  Financial
73.26 - 73.84:  correctness
73.84 - 74.20:  doesn't
74.20 - 74.36:  have
74.36 - 74.48:  a
74.48 - 74.62:  close
74.62 - 74.94:  enough.
75.52 - 75.78:  This
75.78 - 75.90:  is
75.90 - 76.08:  high
76.08 - 76.34:  severity
76.34 - 76.78:  always.
77.14 - 77.28:  There's
77.28 - 77.40:  no
77.40 - 77.70:  version
77.70 - 77.84:  of
77.84 - 77.98:  the
77.98 - 78.22:  math
78.22 - 78.62:  doesn't
78.62 - 78.82:  add
78.82 - 78.98:  up.
79.06 - 79.40:  That's
79.40 - 79.40:  a
79.40 - 79.54:  minor
79.54 - 79.94:  issue.
80.10 - 80.30:  It's
80.30 - 80.64:  either
80.64 - 80.98:  got
80.98 - 81.40:  flagged
81.40 - 81.50:  with
81.50 - 81.66:  a
81.66 - 81.94:  specific
